node_id,account_age_days,balance_mean,balance_std,tx_count,is_fraud,tx_velocity_7d,fan_out_ratio,amount_entropy,risky_email,device_mobile,device_consistency,addr_entropy,d_gap_mean,card_network_risk,product_code_risk,international_flag,pagerank,in_out_ratio,reciprocity_score,ring_membership,ring_volume,community_fraud_rate
10004_visa_credit,1.7272727272727273,115.98181818181818,177.12673608567297,11,0,5,0.4166666666666667,2.845350925080876,0.2272727272727272,0.2727272727272727,0.8333333333333334,2.186704338696549,0.6909090909090909,0.2999999999999999,0.2999999999999999,0.0,6.87186339420178e-05,0.0,0.0,0,0.0,0.05263157894736842
10005_american express_credit,0.0,200.0,0.0,3,0,3,0.25,-1.4426951595367387e-09,2.0,0.0,0.75,-1.4426951595367387e-09,0.0,0.2,0.6999999999999998,0.0,6.87186339420178e-05,0.0,0.0,0,0.0,0.045889101338432124
10007_visa_debit,0.0,32.975,4.207285348059959,2,0,2,0.3333333333333333,0.99999999711461,0.25,0.0,0.6666666666666667,-1.4426951595367387e-09,0.0,0.3,0.2,0.0,6.87186339420178e-05,0.0,0.0,0,0.0,0.045889101338432124
10009_visa_debit,475.0,107.95,0.0,1,0,1,0.5,-1.4426951595367387e-09,2.0,0.0,1.0,-1.4426951595367387e-09,341.0,0.3,0.1,0.0,6.87186339420178e-05,0.0,0.0,0,0.0,0.0691987513007284
10010_visa_debit,0.0,100.0,0.0,1,0,1,0.5,-1.4426951595367387e-09,0.5,0.0,0.5,-1.4426951595367387e-09,0.0,0.3,0.3,0.0,6.87186339420178e-05,0.0,0.0,0,0.0,0.047337278106508875
10011_visa_debit,195.8181818181818,144.4227272727273,170.7982587200999,11,0,5,0.0833333333333333,3.2776134223921645,0.409090909090909,0.0909090909090909,0.9166666666666666,-1.4426951595367387e-09,104.8181818181818,0.2999999999999999,0.1181818181818182,0.0,6.87186339420178e-05,0.0,0.0,0,0.0,0.06909547738693467
10012_visa_debit,0.0,50.0,0.0,1,0,1,0.5,-1.4426951595367387e-09,0.5,0.0,0.5,-1.4426951595367387e-09,0.0,0.3,0.3,0.0,6.87186339420178e-05,0.0,0.0,0,0.0,0.0691987513007284
10015_mastercard_debit,0.0,171.0,0.0,1,0,1,0.5,-1.4426951595367387e-09,2.0,0.0,1.0,-1.4426951595367387e-09,24.2,0.3,0.1,0.0,6.87186339420178e-05,0.0,0.0,0,0.0,0.05263157894736842
10017_american express_credit,0.0,150.0,0.0,2,0,2,0.3333333333333333,-1.4426951595367387e-09,2.0,0.0,0.6666666666666667,-1.4426951595367387e-09,0.0,0.2,0.7,0.0,6.87186339420178e-05,0.0,0.0,0,0.0,0.045889101338432124
10018_mastercard_debit,0.0,107.95,0.0,1,0,1,0.5,-1.4426951595367387e-09,0.5,0.0,1.0,-1.4426951595367387e-09,0.0,0.3,0.1,0.0,6.87186339420178e-05,0.0,0.0,0,0.0,0.02390438247011952
